stimulus_id,drift_detected,best_match_id,assigned_wer,best_neighbor_wer
1,False,1,0.0,0.0
2,False,2,0.5,0.5
3,False,3,0.4,0.4
4,False,4,0.4,0.4
5,False,5,0.625,0.625
6,False,6,0.1667,0.1667
7,False,7,0.0,0.0
8,False,8,0.0,0.0
9,False,9,0.0,0.0
10,False,10,0.0,0.0
11,False,11,0.4444,0.4444
12,False,12,0.0,0.0
13,False,13,0.3333,0.3333
14,False,14,0.1429,0.1429
15,False,15,0.0,0.0
16,False,16,0.6667,0.6667
17,False,17,0.1111,0.1111
18,False,18,0.4286,0.4286
19,False,19,0.3333,0.3333
20,False,20,0.1818,0.1818
21,False,21,0.3,0.3
22,False,22,0.2,0.2
23,False,23,0.6,0.6
24,False,24,0.25,0.25
25,False,25,0.3,0.3
26,False,26,0.1111,0.1111
27,False,27,0.0,0.0
28,False,28,0.3,0.3
29,False,29,0.1667,0.1667
30,False,30,0.0,0.0
