stimulus_id,drift_detected,best_match_id,assigned_wer,best_neighbor_wer
1,False,1,0.25,0.25
2,False,2,0.0,0.0
3,False,3,0.0,0.0
4,False,4,0.6,0.6
5,False,5,0.75,0.75
6,False,6,1.0,0.875
7,False,7,0.75,0.7143
8,False,8,0.8571,0.8571
9,False,9,0.1429,0.1429
10,False,10,0.2857,0.2857
11,False,11,0.5556,0.5556
12,False,12,0.5,0.5
13,False,13,0.5556,0.5556
14,False,14,0.7143,0.7143
15,False,15,0.875,0.875
16,False,16,0.6667,0.6667
17,False,17,0.6667,0.6667
18,False,18,0.1429,0.1429
19,False,19,0.6667,0.6667
20,False,20,0.7273,0.7273
21,False,21,0.6,0.6
22,False,22,0.5,0.5
23,False,23,0.8,0.8
24,False,24,0.875,0.875
25,False,25,0.4,0.4
26,False,26,1.0,1.0
27,False,27,0.7273,0.7273
28,False,28,1.0,0.9167
29,False,29,0.9167,0.9167
30,False,30,0.9,0.9
